Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep1_1_Slot1-16_1_3182.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep1_2_Slot1-16_1_3183.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep1_3_Slot1-16_1_3184.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep1_4_Slot1-16_1_3185.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep2_1_Slot1-17_1_3187.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep2_2_Slot1-17_1_3188.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep2_3_Slot1-17_1_3189.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep2_4_Slot1-17_1_3190.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep3_1_Slot1-18_1_3192.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep3_2_Slot1-18_1_3193.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep3_3_Slot1-18_1_3194.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep3_4_Slot1-18_1_3195.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep1_1_Slot1-19_1_3197.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep1_2_Slot1-19_1_3198.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep1_3_Slot1-19_1_3199.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep1_4_Slot1-19_1_3200.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep2_1_Slot1-20_1_3202.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep2_2_Slot1-20_1_3203.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep2_3_Slot1-20_1_3204.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep2_4_Slot1-20_1_3205.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep3_1_Slot1-21_1_3207.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep3_2_Slot1-21_1_3208.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep3_3_Slot1-21_1_3209.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep3_4_Slot1-21_1_3210.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep1_1_Slot2-34_1_9883.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep1_2_Slot2-34_1_9884.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep1_3_Slot2-34_1_9885.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep1_4_Slot2-34_1_9886.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep2_1_Slot2-35_1_9888.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep2_2_Slot2-35_1_9889.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep2_3_Slot2-35_1_9890.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep2_4_Slot2-35_1_9891.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep3_1_Slot2-36_1_9893.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep3_2_Slot2-36_1_9894.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep3_3_Slot2-36_1_9895.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep3_4_Slot2-36_1_9896.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep1_1_Slot2-37_1_9898.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep1_2_Slot2-37_1_9899.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep1_3_Slot2-37_1_9900.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep1_4_Slot2-37_1_9901.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep2_1_Slot2-38_1_9903.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep2_2_Slot2-38_1_9904.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep2_3_Slot2-38_1_9905.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep2_4_Slot2-38_1_9906.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep3_1_Slot2-39_1_9908.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep3_2_Slot2-39_1_9909.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep3_3_Slot2-39_1_9910.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep3_4_Slot2-39_1_9911.d
A0JLT2	A0JLT2	MED19_HUMAN	MED19	Mediator of RNA polymerase II transcription subunit 19	13245.9	12227.4	10878.2	12215.1	11429.8	11953.3	12891.7	11164.9	12783.2	11057.9	10011.8	10634.1	8209.85	9914.36	10212.9	8910.59	8857	7826.44	7878.63	8429.15	7858.09	8342.57	7873.91	8233.61	8514.38	8235.53	8871.48	9848.01	8439.37	7303.4	8818.12	8246.26	10421.1	8744.16	9638.88	8825.37	8779.99	9647.31	9504.4	10157.7	9374.04	10802.9	8292.21	10440.5	8899.18	9080.64	9492.83	9422.59
A0JNW5	A0JNW5	UH1BL_HUMAN	UHRF1BP1L	UHRF1-binding protein 1-like	12636.8	13374.7	11962.9	12712.5	12313.3	14860.5	12060.8	13705.9	14433.7	12950.1	13389.4	13094.1	8596.31	7872.03	7774.47	8135.02	8075.13	7928.91	8426.13	8324.18	8270.09	8277.31	7784.51	8462.3	11675.5	11835.5	12602.2	12842.7	12202.9	10849.4	11776	11475.8	11652.9	12252.9	12347.2	11745.7	7645.48	9483.53	8395.52	8144.02	7839.97	8327.22	7808.66	8287.61	8796.96	9115.87	8891.96	8763.11
A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	91041.1	86542.7	86465.3	86103.4	87781.8	86655.2	87012.6	89211.9	90691.8	93167.4	95196	89863.1	61542.9	62527.1	62009.6	62238.8	63668.2	67206.1	65683.8	66033.1	61700.9	61517.1	65291.1	64750.2	88953.9	93528.4	88853.9	88271.6	87153.5	86226.6	87265.9	86092.6	95195.4	92440	96103.5	93287.1	65408.7	64057.1	64810	64491.6	68475.5	65764.3	66523.1	67527	63354.9	65139.5	64710.9	61183
A0PJW6	A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	7614.45	8543.7	9314.12	8696.12	8839.7	8489.82	8544.37	10266.8	10499.3	11081.3	10668.1	10932.4	9783.63	10640.7	10301.7	14522.1	13480.3	10152.1	10776.7	13740.5	10093.7	9810.49	10181	11182	17157	16025.7	15497.5	15299.2	15249.2	14162.7	16048.1	13326	16342.4	15035.1	15019.2	15169.2	12525.8	10912.8	11985.7	12905.1	11063.8	10801.6	12731.7	12639.5	11719.5	11489.4	13440.9	13711.2
A0PK00	A0PK00	T120B_HUMAN	TMEM120B	Transmembrane protein 120B	9226.78	8076.66	8347.43	8549.75	7886.13	9948.49	9244.73	9373.3	9899	8605.22	8846.15	8815.74		5792.15	6420.26	4804.44	6070.93	4244.07	7447.06	6141.86	5042.99	5067.19	5437.06	5282.08	7404.65	6733.16	7075.71	7618.4	7176.8	8069.03	8257.86	7041.28	7681.72	8047.97	7211.19	7137.47	4285.67	6423.73	5578.21	4985.56	5483.88	4975.16	5731.02	5214.07	4287.71	4852.29	4682.86	4295.19
A1A4S6	A1A4S6	RHG10_HUMAN	ARHGAP10	Rho GTPase-activating protein 10	6154.23	6422.37	8097.33	7714.13	7325.6	8538.42	7517.1	7269.01	7736.67	6401.48	6876.77	7772.76													6487	7105.92	6713.13	7046.44	6457.83	6082.25	6945.78	7031.36	6188.07	7063.68	7235.43	7464.23												
A1L020	A1L020	MEX3A_HUMAN	MEX3A	RNA-binding protein MEX3A							2210.37						4107.86	3525.61	3325.46	4085.65	4299.56	4544	3864.12	4225.31	3584.56	4079.39	3844.66	3678.91		3625.34		2200.66	2141.58		2270.52	1889.46	1430.27	1554.08	2905.98		4645.17	5111.98	4834.71	4641.68	4689.68	4922.92	5188.53	4519.06	5086.41	4449.24	4877.14	5062.77
A1L0T0	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	46082.9	47060.5	44852.5	49680.9	45219.1	46898.7	47342.6	47736.1	45444.1	43946.1	45550.8	46404	18162.8	19789.7	19001.2	19553.1	18013.3	19001.3	19901.4	20660	19228.9	19169.5	18305.4	19986.3	47543	45607.6	45849.4	44511.2	44441.5	43158.8	43846.1	44302.2	47449.5	44352.1	45173.9	41808.3	18711.4	19125.6	18375.6	18795.6	18790.4	19067.1	19021.7	18041.5	18721.9	16044.3	18170.9	19670.4
A1L188	A1L188	NDUF8_HUMAN	NDUFAF8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8	21311.6	18394.6	17717.9	18850.9	21968.1	17805.1	17999.6	16765.6	22111.8	19460.1	20135.3	21841.4	10238.6	11704	9167.53	11307.3	15802.1	14714.9	12860.5	13034.9	11855.7	8752.23	9831.99	8938.26	10127.6	11983.1	10640.1	12103	11885.5	13872.2	11342.3	12740.8	11136.2	13544.2	12731.1	14121	10537.8	10092.9	9555.52	10341.9	11037.4	12193.9	13340.9	12469.3	10584.5	10179.3	10582.1	9619.23
A1L390	A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	30016.8	28841.3	29454.7	29012.7	28760.9	29759.4	29942.1	29764.7	28943.9	29227.4	29542	29527.3													28391.1	27614.1	29101.9	25854.7	27199.4	28063.8	26833.2	28583.5	26923.5	27430.4	26389.8	27135.5												
A1L3X0	A1L3X0	ELOV7_HUMAN	ELOVL7	Elongation of very long chain fatty acids protein 7	19625.6	19542.7	19243.1	18185.9	18664.4	17961.2	17272.6	16630.2	16312.7	18468	18292.9	15650.5				4772.96				5839.75					19652.8	21071.3	18740.5	23656.4	24102.7	22134.8	22374.1	23760.2	19085	23900.9	20060.4	24746.1												
A1X283	A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	32867	32003.7	33229.1	32492.9	32473.7	33055.2	33139.4	31749.9	32957.1	32745.6	32850	32087.7	29575.6	24039.9	24850.5	24492.4	34091.6	25488.7	28305.5	25623.5	27814.7	20065.5	23817.1	27410.2	26756.9	26776	26411.4	27534	27200.4	27226.5	26674.8	26176.2	27792.9	27879.7	26983.6	28222.5	8752.12	8419.35	15167.9	16188.2	16926.2	18022.9		15220.5	3110.89		4117.18	16964.6
A2A2Y4	A2A2Y4	FRMD3_HUMAN	FRMD3	FERM domain-containing protein 3	11400.6	11534.4	11219	13858.7	13095.1	11101.7	12524.4	12335.2	13252.7	11287	11730.4	10983.5													13517	14442.1	15930.8	13525	12763.6	13995.4	14775.5	13851.3	13586.6	15531.9	13663.8	14032.4												
A2RRP1	A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	30316.7	31267.4	29963.8	30290	29916	29387	29349.3	30351.4	29230	28997.4	28973.7	29710.1	54745.9	54679.9	53523.8	53874	52135.5	53610.8	53679.3	54036.7	55823.7	56523.5	56411.5	55763.6	31420.2	31250.9	31961.7	31432.8	30360.8	30711.5	31257.1	30366.9	30230.7	30666.8	31218.7	30903.1	54719.9	54658.1	53716.7	53690.4	52240.4	54187.4	53051.9	53562.1	54639.1	54792.5	55874.8	55056.5
A2RTX5	A2RTX5	SYTC2_HUMAN	TARS3	Threonine--tRNA ligase 2, cytoplasmic	14967.3	13879.1	13562.6	12222.7	13062.3	11492.3	12784.4	11278.3	11697.5	11067.9	11528.3	13794.5	10559.7	9340.27	14899.2	12509.8	11020.1	7041.5	7337.45	8245.63	6517.03	8240.8	10274.1	10976.6	9009.53	9774.76	9018.78	7696.6	9170.77	7854.86	8045.22	7799.31	9263.4	7845.8	8556.21	8535.06	9068.34	9054	8820.93	8883.58	10545.5	10308.5	9786.48	9111.6	9786.46	9880.46	10027.7	10130.4
A2RU49	A2RU49	HYKK_HUMAN	HYKK	Hydroxylysine kinase	1518.85	1779.55	1832.23	1430.54	1228.67	1570.97	1670.92	1192.87	1722.54	1411.33	1717.78	1676.5	1242.93	796.628	1337.82	1151.39	982.336			1232.52				819.091	2799.13	2191.74	2955.92	2102.96	2404.85	2140.75	2660.73	2779.37	2056.64	2127.38	2230.66	3266.89	1705.18	1205.59	1466.39	1197.78	1114.32	1004.24	1409.2	923.033	1605.84	1158.56	1099.19	1337.73
A2RUC4	A2RUC4	TYW5_HUMAN	TYW5	tRNA wybutosine-synthesizing protein 5	18076.8	17842.3	17917.8	19348.3	18054.3	17888.2	19931.5	17713.3	16690.9	19476.9	19822.6	21149.3	9862.12	9419.75	10278.6	9433.64	10204.7	9112.44	9977.04	12286.8	11122.5	10833.7	11899.2	10740.2	17858.9	18991.3	20461.8	19101.6	18524.4	19298.5	20367.7	19569.9	19009.2	19483.2	18617.3	20272.9	11025.1	10740.4	8631.73	10365.5	8722.83	9360.32	7902.59	8967.48	10230	10193.4	7682.91	9482.66
A2RUS2	A2RUS2	DEND3_HUMAN	DENND3	DENN domain-containing protein 3	10775.7	11767.5	13342.3	11769.5	11949.8	9083.27	9947.53	10479.7	13320	10561.3	9864.6	10126.7		8117.1		9821.08			10586.2	8783.71		7509.88	7200.03	9888.56	11249.3	13440.7	12025.3	12256.7	11354	9936.59	11147.3	10476	9588.4	9976.47	9147.99	9327.93	9595.17	7728.98	8422.04	7691.76	13084.9	11412.7	13442	11184	9173.1	8758.02	8838.59	9309.53
A2VDF0	A2VDF0	FUCM_HUMAN	FUOM	Fucose mutarotase													10077.4	10169.4	9766.91	6900.48	8841.11	11108.3	13810.8	10463.6	6248.71	8532.56	9473.84	8859.17	1725.68	1624.47	1705.01	1567.59	1547.51	1935.07	2094	1716.56	1602.53	1847.1	2605.05	3167.38	10399.9	10608.4	10202.5	12177.1	11536.3	10876	10956.6	11690	12515.8	11294.2	11246.8	11489.9
